outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Use of Force,use_of_force_hispanic_1000_rate_post,-8.158358386930251,8.252567435927423,0.3229911470661294,-24.34329618806828,8.026579414207776,22.50072973752821,6.5262462603972144,1922,5.299484666548837e-4
Use of Force (Serious),use_of_force_serious_hispanic_1000_rate_post,1.792796418824727,1.792742021979626,0.31742183776934196,-1.723129787716585,5.308722625366039,-2.09564289810299e-15,7.855727157272706e-15,1922,5.205622071313698e-4
Use of Force (Other),use_of_force_less_serious_hispanic_1000_rate_post,-4.566868192639904,8.992660646300633,0.611621127201419,-22.203277026269873,13.069540640990063,22.500729737528196,6.526246260397202,1922,1.3899760589775045e-4
