estimator,outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Difference-in-means,Use of Force,use_of_force_1000_rate_post,73.6451851410697,86.98458492144226,0.3972977579303736,-96.94900964034363,244.23937992248304,807.1708178104238,59.239201167521834,1922,3.6796456009124956e-4
Difference-in-means,Complaints,all_complaints_1000_rate_post,57.26559336674291,41.4290108506752,0.1670531825840061,-23.98499549384926,138.5161822273351,280.13126673247467,29.63778958465453,1922,0.0010433655363690786
Difference-in-means,Disorderly Conduct,disorderly_conduct_1000_rate_post,-127.73392522543045,277.24517888858213,0.6450477321934341,-671.4672555878277,415.99940513696686,1416.4949875720522,186.2715444979698,1922,1.1888265509918394e-4
"OLS, pretreatment outcome only",Use of Force,use_of_force_1000_rate_post,121.51087927489311,85.69237115143713,0.156356199845053,-46.549080704073106,289.57083925385933,NA,NA,1922,0.04865243380130557
"OLS, pretreatment outcome only",Complaints,all_complaints_1000_rate_post,58.82592716508184,41.318010223857705,0.154685556525752,-22.206993867767743,139.85884819793142,NA,NA,1922,0.00338146300180564
"OLS, pretreatment outcome only",Disorderly Conduct,disorderly_conduct_1000_rate_post,-187.32886324223168,250.01656753254915,0.453788851267807,-677.6615937876863,303.00386730322293,NA,NA,1922,0.17995709697311535
