outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Use of Force,use_of_force_white_1000_rate_post,7.17704448712509,10.079810026123056,0.47653778223335164,-12.591482045582403,26.945571019832585,21.507698214070643,6.177399008458607,1922,2.639618596804727e-4
Use of Force (Serious),use_of_force_serious_white_1000_rate_post,0,0,NA,0,0,0,0,1922,NA
Use of Force (Other),use_of_force_less_serious_white_1000_rate_post,8.50004184439032,10.163185039480755,0.40305867450666055,-11.431999790234272,28.432083479014914,21.507698214070643,6.177399008458611,1922,3.620394160209761e-4
