outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Complaints,all_complaints_1000_rate_post,57.26559336674291,41.4290108506752,0.1670531825840061,-23.98499549384926,138.5161822273351,280.13126673247467,29.63778958465453,1922,0.0010433655363690786
Complaints (Sustained),all_complaints_sustained_1000_rate_post,16.889707858454077,14.236953909612385,0.2356392711087497,-11.031810540971183,44.81122625787934,38.70149057974414,10.337580233038425,1922,7.926439717652611e-4
Complaints (Not Sustained),all_complaints_not_sustained_1000_rate_post,40.37588550828876,36.950313318993,0.2746593174027163,-32.091080371555165,112.84285138813269,241.4297761527307,26.108978482735402,1922,6.40887223235298e-4
Compliants (Insufficient Facts),all_complaints_insufficient_facts_1000_rate_post,-7.924766493291103,13.77186416911239,0.56506683507484,-34.93415075017435,19.084617763592142,47.776560870025115,10.754978887375586,1922,1.869967982272014e-4
