sample,assignment,n,videos_per_year,average_video_minutes
All officers in the trial,Control,1035,12.411817836427712,0.6800017250925544
All officers in the trial,Officer assigned BWC,1189,592.4853720097914,10.368047739033235
Seven patrol districts,Control,888,13.922010541979283,0.7537616125069977
Seven patrol districts,Officer assigned BWC,1034,663.0633597115815,11.012350743898557
