district,estimate,std.error,p.value,conf.low,conf.high
1D,-72.79763486579822,329.30108855914864,0.8252001707477497,-720.9978164335569,575.4025467019605
2D,251.51494284533823,165.31670984206778,0.1293179440408875,-73.94800618875831,576.9778918794348
3D,-88.0302299958685,190.52543785058742,0.6444225153751714,-463.1222030220905,287.06174303035357
4D,122.18988358089108,151.9919227232918,0.4221231231425352,-177.00203648206286,421.38180364384505
5D,486.357479116369,265.9422900105284,0.06865396985011418,-37.48883440752394,1010.203792640262
6D,18.002201501255872,248.95433003731546,0.9424019114124864,-471.89612838589966,507.90053138841137
7D,-161.55053561604035,179.51115788787965,0.3689942017862273,-515.0571717465012,191.95610051442054
