outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Use of Force,use_of_force_nonblack_1000_rate_post,-0.9813138998051211,14.356751282554049,0.945512479575211,-29.13777894399932,27.17515114438908,45.801224370423576,9.783628550651718,1922,2.4658110583386517e-6
Use of Force (Serious),use_of_force_serious_nonblack_1000_rate_post,1.792796418824727,1.792742021979626,0.31742183776934196,-1.723129787716585,5.308722625366039,-2.09564289810299e-15,7.855727157272706e-15,1922,5.205622071313698e-4
Use of Force (Other),use_of_force_less_serious_nonblack_1000_rate_post,3.933173651750266,14.40181506306162,0.784803691830406,-24.311670492676907,32.178017796177436,45.801224370423654,9.783628550651743,1922,3.9244098058333066e-5
