outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Use of Force,use_of_force_other_1000_rate_post,4.330416297337498e-14,2.535431515830949,0.9999999999999865,-4.9724890709914025,4.9724890709914895,1.792796418824716,1.7928996107136776,1922,0
Use of Force (Serious),use_of_force_serious_other_1000_rate_post,0,0,NA,0,0,0,0,1922,NA
Use of Force (Other),use_of_force_less_serious_other_1000_rate_post,4.330416297337498e-14,2.535431515830949,0.9999999999999865,-4.9724890709914025,4.9724890709914895,1.792796418824716,1.7928996107136776,1922,0
