outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Disorderly Conduct,disorderly_conduct_1000_rate_post,-127.73392522543045,277.24517888858213,0.6450477321934341,-671.4672555878277,415.99940513696686,1416.4949875720522,186.2715444979698,1922,1.1888265509918394e-4
Simple Assault,simple_assault_1000_rate_post,430.81772681786964,593.1019436238037,0.4676940410846808,-732.3739879804673,1594.0094416162067,9065.68472318998,442.46663390024224,1922,2.812555589596366e-4
Traffic Violation,traffic_arrest_1000_rate_post,91.08108021624436,617.1903505666587,0.8826946857897598,-1119.3528257093435,1301.5149861418322,5230.554835255395,458.221196664226,1922,1.1827022231014617e-5
