outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
DV Report Taken,dv_report_taken_1000_rate_post,-9448.519815511478,10905.485428841926,0.3863787341765421,-30836.36120274009,11939.321571717133,230390.14697419005,8087.320068718799,1922,3.9865853311982224e-4
DV Report Taken (Family),dv_report_taken_family_1000_rate_post,-858.4581258526654,886.4370292161365,0.3329483053958525,-2596.938701004298,880.0224492989672,12962.627826633721,677.6325732938949,1922,4.930146365628163e-4
DV Report Taken (Not Family),dv_report_taken_not_family_1000_rate_post,-8590.061689658818,10260.742988141601,0.4025970734015023,-28713.434003292274,11533.310623974638,217427.51914755648,7582.428379850781,1922,3.723392688049776e-4
DV Calls,dv_calls_1000_rate_post,-22217.89522092526,21363.49149402215,0.29847379987953715,-64115.981329328264,19680.190887477744,446876.2684889482,15822.759356005177,1922,5.743277041445616e-4
DV Arrests,dv_arrests_1000_rate_post,-464.6976200595929,454.8147992322588,0.3070377425911939,-1356.680544617657,427.28530449847125,4272.043801888822,348.64144912901264,1922,5.744893951709074e-4
