district,relative_month,Z,use_of_force_1000,n_officers
3D,-390,Officer Assigned BWC,58.394160583941606,137
3D,-360,Control,29.197080291970803,137
3D,-360,Officer Assigned BWC,21.897810218978105,137
3D,-330,Control,21.897810218978105,137
3D,-330,Officer Assigned BWC,7.299270072992701,137
3D,-300,Control,87.59124087591242,137
3D,-300,Officer Assigned BWC,14.598540145985401,137
3D,-270,Control,72.992700729927,137
3D,-270,Officer Assigned BWC,51.09489051094891,137
3D,-240,Control,51.09489051094891,137
3D,-240,Officer Assigned BWC,21.897810218978105,137
3D,-210,Control,43.79562043795621,137
3D,-210,Officer Assigned BWC,80.2919708029197,137
3D,-180,Control,58.394160583941606,137
3D,-180,Officer Assigned BWC,36.4963503649635,137
3D,-150,Control,58.394160583941606,137
3D,-150,Officer Assigned BWC,21.897810218978105,137
3D,-120,Control,0,137
3D,-120,Officer Assigned BWC,29.197080291970803,137
3D,-90,Control,43.79562043795621,137
3D,-90,Officer Assigned BWC,29.197080291970803,137
3D,-60,Control,0,137
3D,-60,Officer Assigned BWC,65.69343065693431,137
3D,-30,Control,109.48905109489051,137
3D,-30,Officer Assigned BWC,116.78832116788321,137
3D,0,Control,43.79562043795621,137
3D,0,Officer Assigned BWC,29.197080291970803,137
3D,30,Control,65.69343065693431,137
3D,30,Officer Assigned BWC,51.09489051094891,137
3D,60,Control,43.79562043795621,137
3D,60,Officer Assigned BWC,43.79562043795621,137
3D,90,Control,72.992700729927,137
3D,90,Officer Assigned BWC,72.992700729927,137
3D,120,Control,131.38686131386862,137
3D,120,Officer Assigned BWC,87.59124087591242,137
3D,150,Control,43.79562043795621,137
3D,150,Officer Assigned BWC,51.09489051094891,137
3D,180,Control,29.197080291970803,137
3D,180,Officer Assigned BWC,43.79562043795621,137
3D,210,Control,131.38686131386862,137
3D,210,Officer Assigned BWC,94.8905109489051,137
3D,240,Control,58.394160583941606,137
3D,240,Officer Assigned BWC,36.4963503649635,137
3D,270,Control,0,137
3D,270,Officer Assigned BWC,7.299270072992701,137
4D,-690,Control,7.092198581560283,141
4D,-690,Officer Assigned BWC,7.092198581560283,141
4D,-660,Control,28.368794326241133,141
4D,-660,Officer Assigned BWC,28.368794326241133,141
4D,-630,Control,7.092198581560283,141
4D,-630,Officer Assigned BWC,7.092198581560283,141
4D,-600,Control,42.5531914893617,141
4D,-600,Officer Assigned BWC,28.368794326241133,141
4D,-570,Control,14.184397163120567,141
4D,-570,Officer Assigned BWC,14.184397163120567,141
4D,-540,Control,7.092198581560283,141
4D,-540,Officer Assigned BWC,21.27659574468085,141
4D,-510,Control,21.27659574468085,141
4D,-510,Officer Assigned BWC,28.368794326241133,141
4D,-480,Control,0,141
4D,-480,Officer Assigned BWC,0,141
4D,-450,Control,21.27659574468085,141
4D,-450,Officer Assigned BWC,35.46099290780142,141
4D,-420,Control,7.092198581560283,141
4D,-420,Officer Assigned BWC,21.27659574468085,141
4D,-390,Control,14.184397163120567,141
4D,-390,Officer Assigned BWC,14.184397163120567,141
4D,-360,Control,56.737588652482266,141
4D,-360,Officer Assigned BWC,28.368794326241133,141
4D,-330,Control,70.92198581560284,141
4D,-330,Officer Assigned BWC,92.19858156028369,141
4D,-300,Control,70.92198581560284,141
4D,-300,Officer Assigned BWC,35.46099290780142,141
4D,-270,Control,70.92198581560284,141
4D,-270,Officer Assigned BWC,42.5531914893617,141
4D,-240,Control,35.46099290780142,141
4D,-240,Officer Assigned BWC,21.27659574468085,141
4D,-210,Control,14.184397163120567,141
4D,-210,Officer Assigned BWC,14.184397163120567,141
4D,-180,Control,21.27659574468085,141
4D,-180,Officer Assigned BWC,14.184397163120567,141
4D,-150,Control,92.19858156028369,141
4D,-150,Officer Assigned BWC,99.29078014184398,141
4D,-120,Control,42.5531914893617,141
4D,-120,Officer Assigned BWC,28.368794326241133,141
4D,-90,Control,7.092198581560283,141
4D,-90,Officer Assigned BWC,28.368794326241133,141
4D,-60,Control,42.5531914893617,141
4D,-60,Officer Assigned BWC,35.46099290780142,141
4D,-30,Control,14.184397163120567,141
4D,-30,Officer Assigned BWC,14.184397163120567,141
4D,0,Control,49.64539007092199,141
4D,0,Officer Assigned BWC,35.46099290780142,141
4D,30,Control,78.01418439716312,141
4D,30,Officer Assigned BWC,42.5531914893617,141
4D,60,Control,49.64539007092199,141
4D,60,Officer Assigned BWC,49.64539007092199,141
4D,90,Control,42.5531914893617,141
4D,90,Officer Assigned BWC,49.64539007092199,141
4D,120,Control,21.27659574468085,141
4D,120,Officer Assigned BWC,78.01418439716312,141
4D,150,Control,42.5531914893617,141
4D,150,Officer Assigned BWC,42.5531914893617,141
4D,180,Control,7.092198581560283,141
4D,180,Officer Assigned BWC,63.82978723404255,141
4D,210,Control,7.092198581560283,141
4D,210,Officer Assigned BWC,7.092198581560283,141
5D,-390,Control,25.31645569620259,79
5D,-390,Officer Assigned BWC,12.04819277108437,166
5D,-360,Control,126.58227848101292,79
5D,-360,Officer Assigned BWC,72.28915662650621,166
5D,-330,Control,113.92405063291164,79
5D,-330,Officer Assigned BWC,78.3132530120484,166
5D,-300,Control,63.29113924050646,79
5D,-300,Officer Assigned BWC,108.43373493975932,166
5D,-270,Control,37.97468354430387,79
5D,-270,Officer Assigned BWC,96.38554216867496,166
5D,-240,Control,63.29113924050646,79
5D,-240,Officer Assigned BWC,12.04819277108437,166
5D,-210,Control,177.21518987341807,79
5D,-210,Officer Assigned BWC,60.24096385542184,166
5D,-180,Control,88.60759493670903,79
5D,-180,Officer Assigned BWC,48.19277108433748,166
5D,-150,Control,50.63291139240518,79
5D,-150,Officer Assigned BWC,72.28915662650621,166
5D,-120,Control,25.31645569620259,79
5D,-120,Officer Assigned BWC,60.24096385542184,166
5D,-90,Control,63.29113924050646,79
5D,-90,Officer Assigned BWC,66.26506024096403,166
5D,-60,Control,63.29113924050646,79
5D,-60,Officer Assigned BWC,60.24096385542184,166
5D,-30,Control,75.94936708860774,79
5D,-30,Officer Assigned BWC,36.144578313253106,166
5D,0,Control,25.31645569620259,79
5D,0,Officer Assigned BWC,216.86746987951878,166
5D,30,Control,126.58227848101292,79
5D,30,Officer Assigned BWC,120.48192771084368,166
5D,60,Control,50.63291139240518,79
5D,60,Officer Assigned BWC,60.24096385542184,166
5D,90,Control,50.63291139240518,79
5D,90,Officer Assigned BWC,24.09638554216874,166
5D,120,Control,25.31645569620259,79
5D,120,Officer Assigned BWC,72.28915662650621,166
5D,150,Control,37.97468354430387,79
5D,150,Officer Assigned BWC,96.38554216867496,166
5D,180,Control,75.94936708860774,79
5D,180,Officer Assigned BWC,84.33734939759057,166
5D,210,Control,37.97468354430387,79
5D,210,Officer Assigned BWC,42.168674698795286,166
5D,240,Control,75.94936708860774,79
5D,240,Officer Assigned BWC,150.6024096385546,166
5D,270,Control,75.94936708860774,79
5D,270,Officer Assigned BWC,84.33734939759057,166
5D,300,Control,151.8987341772155,79
5D,300,Officer Assigned BWC,150.6024096385546,166
5D,330,Control,113.92405063291164,79
5D,330,Officer Assigned BWC,102.40963855421712,166
5D,360,Control,139.24050632911423,79
5D,360,Officer Assigned BWC,168.6746987951812,166
5D,390,Control,50.63291139240518,79
