outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Prosecuted,charge_prosecuted_1000_rate_post,2421.624972461892,2632.669021743213,0.35777377157321166,-2741.5663251210435,7584.816270044827,33139.07741917939,1814.5867383699522,1922,4.418126776188913e-4
Found Guilty,trial_guilty_1000_rate_post,13.473684595367725,19.950265525021425,0.4995260650087111,-25.65278230667138,52.60015149740683,39.578026810284065,14.087376402493897,1922,2.366968305737016e-4
Not Found Guilty,trial_not_guilty_1000_rate_post,-15.622043110564794,22.156079248798527,0.480839383437638,-59.07455256813704,27.830466347007444,49.289428788245885,17.681823590026386,1922,2.8733362827859654e-4
Entered Plea,not_trial_guilty_1000_rate_post,62.7526995003126,353.0670517376304,0.8589491180571482,-629.6825112835843,755.1879102842095,1348.5189155451499,182.01444871706303,1922,1.4758206758336279e-5
Not Pursued,not_trial_not_guilty_1000_rate_post,-114.27818983333657,102.2137812225944,0.2636935650104124,-314.7398890985553,86.18350943188216,390.09608123071456,95.90399739553963,1922,7.854024887442579e-4
