outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Use of Force (Night),use_of_force_night_1000_rate_post,-33.15526979813499,65.1858653340418,0.6110723663964372,-160.9978090001502,94.68726940388024,475.16617052982957,47.02428667208385,1922,1.352183739623536e-4
Complaints (Night),all_complaints_night_1000_rate_post,12.646032068535558,20.557520709309333,0.5385262136179799,-27.671383888258394,52.96344802532951,86.98380377329542,13.617628141956644,1922,1.992339382670405e-4
