outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared
Assault on PO,assault_on_po_1000_rate_post,71.63230956512446,145.6952911516558,0.6230170723436761,-214.1053403863836,357.3699595166325,1381.751181688058,107.84976032488359,1922,1.3049585868263325e-4
Felony APO,felony_assault_on_po_1000_rate_post,-16.64250077555298,39.067637021616136,0.6701614254245253,-93.261962554145,59.97696100303905,155.17216839718714,29.62375806730545,1922,1.0071418333235105e-4
Misdemeanor APO,msd_assault_on_po_1000_rate_post,88.27481034067551,131.93668669729564,0.5035315966882075,-170.47946031061178,347.0290809919628,1226.5790132908714,97.26218024153887,1922,2.4044823341695665e-4
