outcome,estimate,std_error,estimate_as_printed,std_error_as_printed,n
Use of Force,73.6451851410697,86.98458492144226,74,87,1922
Complaints,57.26559336674291,41.4290108506752,57,41,1922
Disorderly Conduct,-127.73392522543044,277.24517888858213,-128,277,1922
